Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
Free Willy,"Adventure, Drama, Family",112 min,"$77,709,806",79,6.0,1993
The Lawless Nineties,"Drama, Western",55 min,N/A,N/A,5.6,1936
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",136 min,"$259,766,572",70,7.7,2014
40 Guns to Apache Pass,"Adventure, Drama, Romance",95 min,N/A,N/A,5.7,1967
Eurovision Song Contest: The Story of Fire Saga,"Comedy, Music",123 min,N/A,50,6.5,2020
Black Jack: The Movie,"Animation, Drama, Thriller",90 min,N/A,N/A,6.7,1996
The Cheat,"Action, Drama, Sci-Fi",20 min,N/A,N/A,8.3,2017–2020
The Merry Cavalier,Drama,50 min,N/A,N/A,N/A,1926
Adventures of Red Ryder,Western,205 min,N/A,N/A,7.3,1940
Leave It to the Irish,"Action, Comedy, Drama",71 min,N/A,N/A,4.7,1944
Sinbad and the Eye of the Tiger,"Action, Adventure, Family",113 min,N/A,N/A,6.4,1977
Escape from Zahrain,"Action, Adventure, Drama",93 min,N/A,N/A,6.0,1962
The Matrix,"Action, Sci-Fi",136 min,"$172,076,928",73,8.7,1999
Laddie: The Man Behind the Movies,Documentary,83 min,N/A,N/A,7.4,2017
Funny Bones,"Comedy, Drama",128 min,"$532,268",N/A,6.7,1995
The Last Exorcism,"Horror, Mystery, Thriller",87 min,"$41,034,350",63,5.7,2010
The Torch Bearer,Drama,N/A,N/A,N/A,N/A,1916
Clara's Heart,Drama,108 min,"$5,194,491",52,6.1,1988
The Great Northfield Minnesota Raid,"Drama, Western",91 min,"$136,713",N/A,6.1,1972
Daytime Wives,N/A,N/A,N/A,N/A,5.4,1923
Caddyshack II,"Comedy, Sport",98 min,"$11,798,302",7,3.8,1988
A Star Is Born,"Drama, Music, Romance",136 min,"$215,333,122",88,7.6,2018
The Hypnotic Eye,Horror,79 min,N/A,N/A,5.8,1960
Jewels of Brandenburg,"Action, Crime, Mystery",64 min,N/A,N/A,5.7,1947
Hard Target,"Action, Crime, Thriller",97 min,"$32,589,677",63,6.2,1993
Dragon Seed,"Drama, History, War",148 min,N/A,N/A,5.9,1944
"Live Fast, Die Young",Drama,101 min,"$18,335",N/A,8.2,2008
Hard-Hittin' Hamilton,"Action, Adventure, Western",N/A,N/A,N/A,N/A,1924
Cause for Alarm!,"Crime, Drama, Film-Noir",74 min,N/A,N/A,6.4,1951
92 in the Shade,"Comedy, Drama",93 min,N/A,N/A,6.0,1975
Man with the Steel Whip,Western,167 min,N/A,N/A,6.2,1954
P.S. I Love You,"Comedy, Drama, Romance",126 min,"$53,706,790",39,7.0,2007
Roaring Timber,"Adventure, Drama, Romance",60 min,N/A,N/A,5.9,1937
Buccaneer Bunny,"Animation, Short, Adventure",7 min,N/A,N/A,7.8,1948
Kiss and Make-Up,"Comedy, Musical, Romance",78 min,N/A,N/A,5.9,1934
Atlantic Convoy,"Action, Adventure, Drama",66 min,N/A,N/A,5.8,1942
